feature_id,text_id,duplicate_group,source,split,baseline_active,direction,fraction,sign,dose,interaction_norm,normalization_only_norm,pre_norm_interaction_norm,beyond_gain_norm,max_constraint_error,combined_nll_change,context_nll_change
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.005,1,0.1,4.676895078750316e-05,9.527798272460978e-06,0.0273683301255346,4.231764983248706e-05,1.755153066304793e-07,0.029537200927734375,0.02838897705078125
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.01,-1,-0.1,7.523759049726876e-05,1.8418510356739012e-05,0.04086352711982737,4.744893731532161e-05,2.097293254733197e-07,-0.05856895446777344,-0.05712127685546875
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.01,-1,0.1,7.753700634145285e-05,1.806482957793676e-05,0.04061640868675713,5.795828502393431e-05,1.481154906025786e-07,-0.055667877197265625,-0.05712127685546875
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.01,1,-0.1,0.00011728643299340098,1.7946442858275236e-05,0.05679628752308846,9.584243490882265e-05,3.175223935558917e-08,0.055816650390625,0.056854248046875
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.01,1,0.1,0.0001170856140330604,1.8126085098980152e-05,0.05803477370369783,9.470859685094295e-05,2.1348865850838734e-08,0.057895660400390625,0.056854248046875
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.005,-1,-0.1,0.00017668473658936695,6.129722658244343e-06,0.01983642578125,0.00014146875412173848,4.784577352417422e-08,-0.00733184814453125,-0.0062427520751953125
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.005,-1,0.1,0.00017778354043523895,8.162137398063512e-06,0.019744943798474957,0.00014644703393213698,4.28594806687919e-08,-0.0051593780517578125,-0.0062427520751953125
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.005,1,-0.1,0.0001728500168554118,7.52813978378627e-06,0.0183780696731199,0.00014693604484883763,2.6990913454422018e-08,0.0026702880859375,0.004077911376953125
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.005,1,0.1,0.00017938522630669287,7.762346551942685e-06,0.019043359996982423,0.00015073315607367865,2.6990913454422018e-08,0.00548553466796875,0.004077911376953125
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.01,-1,-0.1,0.00036351289122803606,1.4267315197350675e-05,0.0428260797174377,0.000282614013255604,1.5064845732001334e-07,-0.01613616943359375,-0.015237808227539062
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.01,-1,0.1,0.0003598490718731947,1.585259457576684e-05,0.042137294494820336,0.0002850213814452594,1.9576648357049918e-07,-0.01433563232421875,-0.015237808227539062
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.01,1,-0.1,0.0003417139639302119,1.5266237824995157e-05,0.03607260352929701,0.00029294161892245204,7.607159991366124e-08,0.0051593780517578125,0.00669097900390625
2966,1007,1007,fineweb-edu-sample,check,True,random_1,0.01,1,0.1,0.0003492912740722346,1.5386774826300195e-05,0.03632330298466754,0.00030005263396568445,6.925452325204475e-08,0.008222579956054688,0.00669097900390625
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.005,-1,-0.1,0.00014370213838850755,1.4171372510636883e-05,0.006365530816543915,0.0001280307497822937,1.4128793763477258e-07,-0.0043582916259765625,-0.0031223297119140625
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.005,-1,0.1,0.00015005225160178722,1.5672281674904628e-05,0.007779289228362306,0.00013465368694588406,1.8678580144162668e-07,-0.0018901824951171875,-0.0031223297119140625
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.005,1,-0.1,0.00014823501397615002,1.3723055297048721e-05,0.005550173463774044,0.0001386638158732308,2.5301481045325934e-07,0.0030059814453125,0.004283905029296875
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.005,1,0.1,0.00014784797271550937,1.434479613923199e-05,0.0048862445213929285,0.00013896753375857972,1.2642700330661625e-07,0.0055713653564453125,0.004283905029296875
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.01,-1,-0.1,0.0002919334008371327,3.011255913514508e-05,0.01601914157872545,0.00026077584725371075,5.481393364966198e-08,-0.0053195953369140625,-0.0041065216064453125
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.01,-1,0.1,0.00029177797796926374,2.9176823693806372e-05,0.015807516315336553,0.00025952112506875784,3.6958026126846665e-08,-0.0028896331787109375,-0.0041065216064453125
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.01,1,-0.1,0.00029539436552310287,2.95148334578036e-05,0.0108642578125,0.0002798451441346641,1.6687445601828795e-07,0.007411956787109375,0.00872039794921875
2966,1007,1007,fineweb-edu-sample,check,True,random_2,0.01,1,0.1,0.00030290984300342875,2.8219132779393832e-05,0.01062081871784971,0.0002874211057595926,1.676342235941159e-07,0.01003265380859375,0.00872039794921875
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.005,-1,-0.1,0.00015658856011790308,7.1684343234886685e-06,0.026897951682891837,0.00015577579900351765,2.3902097004971936e-07,-0.0043277740478515625,-0.0030193328857421875
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.005,-1,0.1,0.00015738226935739594,3.910355440820867e-06,0.02671304563787096,0.00015601008514999805,1.0987973757648458e-07,-0.001708984375,-0.0030193328857421875
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.005,1,-0.1,0.00015468350466110533,5.207140366516484e-06,0.024617454171438784,0.0001515996703273188,1.7323250344789884e-07,0.0034999847412109375,0.004688262939453125
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.005,1,0.1,0.00016013566276805162,5.800974397943706e-06,0.025953939812057115,0.00015496802958066277,1.7323250344789884e-07,0.0058917999267578125,0.004688262939453125
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.01,-1,-0.1,0.0003189028307043111,1.2072552586719669e-05,0.05437218499844289,0.0003183416112716566,1.5432521950467433e-07,-0.00577545166015625,-0.0044231414794921875
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.01,-1,0.1,0.00032170927727212366,1.0587503104769954e-05,0.055513546544813865,0.00032110546102302083,1.8475135219490055e-07,-0.00305938720703125,-0.0044231414794921875
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.01,1,-0.1,0.00030565819757520375,9.728529817153533e-06,0.04948867321709799,0.0002941065390268654,6.098412122820906e-08,0.0102081298828125,0.011331558227539062
2966,1007,1007,fineweb-edu-sample,check,True,approx_spectrum_matched,0.01,1,0.1,0.00031205558515130864,1.1296613445741781e-05,0.049412096308615955,0.0003010213171729757,2.1851163320637014e-08,0.012456893920898438,0.011331558227539062
2966,1007,1007,fineweb-edu-sample,check,True,leading_pc,0.005,-1,-0.1,0.0001771936118899466,1.220600675217648e-05,0.033090062340302706,0.00012459798328206065,1.0513990061881423e-07,-0.08890342712402344,-0.08740234375
2966,1007,1007,fineweb-edu-sample,check,True,leading_pc,0.005,-1,0.1,0.0001688434524258268,1.0321073924023324e-05,0.03304167370637784,0.00012106943822195332,6.308996480006161e-08,-0.08589553833007812,-0.08740234375
2966,1007,1007,fineweb-edu-sample,check,True,leading_pc,0.005,1,-0.1,0.00011914919292067857,1.2406932669885338e-05,0.025317471834208318,9.16539074700224e-05,3.430754133951865e-08,0.08893966674804688,0.0899505615234375
2966,1007,1007,fineweb-edu-sample,check,True,leading_pc,0.005,1,0.1,0.00011842949450924701,1.1989870987587126e-05,0.02433986834134687,9.428012466038047e-05,5.0475171924108835e-08,0.09096908569335938,0.0899505615234375
2966,1007,1007,fineweb-edu-sample,check,True,leading_pc,0.01,-1,-0.1,0.0003850497697345018,2.376783323398896e-05,0.07282056890646545,0.0002653459184325632,2.3645411154579956e-07,-0.1734180450439453,-0.17168235778808594
2966,1007,1007,fineweb-edu-sample,check,True,leading_pc,0.01,-1,0.1,0.00039157941755920127,2.4459701214651097e-05,0.07181490998502914,0.00027399984449638567,1.1508511157361674e-07,-0.16993141174316406,-0.17168235778808594
