feature_id,direction,calibration,fit_documents,fit_digit,fit_word,mean,low,high,documents,leave_one_out_min,leave_one_out_max
2966,shuffled_labels,fineweb-edu-sample,8,0.12680888175964355,-0.018090009689331055,0.0008921068328504589,-0.018775027588180393,0.022141763067473615,8,-0.006906954373521655,0.007722264859312743
2966,shuffled_labels,wikimedia-en,8,-0.0005979090929031372,-0.15915930271148682,-0.0338485177057285,-0.05251507710808678,-0.012730434747684793,8,-0.04279959121412142,-0.02900665804549515
28027,approx_spectrum_matched,pooled,16,-0.10816194117069244,0.7722331210970879,0.4017787495467531,-0.26739608087590705,1.183344248955773,16,0.13907618596617155,0.518328000648592
28027,approx_spectrum_matched,fineweb-edu-sample,8,0.09419769048690796,0.39978325366973877,0.5017190514294836,0.04428591668242943,1.0438180039207274,8,0.33685130945307734,0.6146740128355955
28027,approx_spectrum_matched,wikimedia-en,8,-0.31052157282829285,1.144682988524437,-0.47257446456581964,-1.3869406803503763,0.49071121191587463,8,-0.7546758586809084,-0.23476112051433054
28027,leading_pc,pooled,16,-0.6022937595844269,0.9639263153076172,1.0972535850299616,0.20372314652955884,2.0323333844805136,16,0.8432225449296155,1.3171259316699382
28027,leading_pc,fineweb-edu-sample,8,-0.9099841117858887,1.292891800403595,1.046309056146333,-0.8637293308952354,3.06001286302371,8,0.40678484413057625,1.6749322725321103
28027,leading_pc,wikimedia-en,8,-0.2946034073829651,0.6349608302116394,0.829991960785148,0.08086497828296846,1.6702553501769073,8,0.5366113471905187,0.9987163303264752
28027,learned,pooled,16,-1.1012367904186249,0.32743439078330994,0.3698951973000328,-0.6512119686580273,1.392023215495427,16,0.0774259187550736,0.6508056157974084
28027,learned,fineweb-edu-sample,8,-1.1479631066322327,0.7452070713043213,0.016153324781942535,-1.8276438983055863,1.975202205270471,8,-0.8603621829853364,0.6156374940906915
28027,learned,wikimedia-en,8,-1.054510474205017,-0.09033828973770142,0.09691062388683669,-0.9421987278782074,0.8599081938828744,8,-0.04983651438750236,0.5649394490190941
28027,random_0,pooled,16,-0.22966600954532623,0.1950189471244812,-0.2510231766911925,-0.4782638435880818,-0.06115065154038096,16,-0.29947927829924087,-0.16756934490813158
28027,random_0,fineweb-edu-sample,8,-0.5476325750350952,-0.0919923186302185,-0.22162819891813346,-0.7852612298537426,0.3843167960745905,8,-0.4674266520787729,-0.016820112632075026
28027,random_0,wikimedia-en,8,0.08830055594444275,0.4820302128791809,-0.25708733202359224,-0.6089408151332965,0.09204175644844649,8,-0.37757009192090907,-0.13234669371828664
28027,random_1,pooled,16,-0.06944127380847931,0.18912740051746368,-0.050388753517794885,-0.35978563677747977,0.21021784643393657,16,-0.1240681427527403,0.0634868561196861
28027,random_1,fineweb-edu-sample,8,-0.16414374113082886,0.3998279571533203,-0.1900955374709019,-1.3841580937050741,0.8685556776300002,8,-0.5428182682271867,0.3166444486414822
28027,random_1,wikimedia-en,8,0.02526119351387024,-0.021573156118392944,0.004868438416294585,-0.01888322107013141,0.028271107488375666,8,-0.002676939437974773,0.012541862526701817
28027,random_2,pooled,16,-0.2582371234893799,0.25532767176628113,0.08234886247904252,-0.19616791619384705,0.3593094390937426,16,-0.012724383387230365,0.14757141080651295
28027,random_2,fineweb-edu-sample,8,0.12060999870300293,0.3531649708747864,-0.04510356454989761,-0.313893262628151,0.21503293790026135,8,-0.11085661061735078,0.04376831437359817
28027,random_2,wikimedia-en,8,-0.6370842456817627,0.15749037265777588,0.45795649378232994,-0.0716806287798244,1.0983170682862808,8,0.17737178876447196,0.595352707720233
28027,shuffled_labels,pooled,16,-0.07450766861438751,-0.23642275482416153,0.060398847549682944,-0.0947062923866045,0.21642410254066943,16,0.01208564764252375,0.09962271470695978
28027,shuffled_labels,fineweb-edu-sample,8,-0.12183189392089844,-0.14512985944747925,0.005274311237757345,-0.13234114607796332,0.1370367823938511,8,-0.029237938193554008,0.06543372723417333
28027,shuffled_labels,wikimedia-en,8,-0.027183443307876587,-0.3277156502008438,0.13179500696521035,-0.260403593927913,0.5019580623082806,8,-0.0006344393450575961,0.2683722290362294
