feature_id,source,n_low,n_high,encoder_decoder_cosine,shift_covariance_encoder_cosine,status,orthogonal_squared,total_squared,parallel_squared,p,null_mean,movable_fraction,tie_tolerance
1892,fineweb-edu-sample,1501,448,0.49213086903652303,-0.7779813383907869,ok,90581.09448153005,330281.09213817306,239699.99765664304,0.0002,76379.16032359963,0.10826064648537712,9.058109448153005e-06
1892,wikimedia-en,1895,789,0.49213086903652303,-0.9093766777625677,ok,87775.43764307455,573580.3417690232,485804.90412594867,0.0002,77115.259321981,0.09314456035767511,8.777543764307455e-06
1903,fineweb-edu-sample,1264,261,0.5901530254962172,0.891544095725021,ok,87385.20836909501,248170.89811614898,160785.68974705398,0.0148,72983.83117951607,0.09704918032786886,8.738520836909502e-06
1903,wikimedia-en,834,73,0.5901530254962172,,insufficient_regime_support,,,,1.0,,,
2286,fineweb-edu-sample,1049,189,0.4885618452978754,-0.916446430835037,ok,246762.87405884085,966235.4258056282,719472.5517467872,0.1262,235300.59555290666,0.006462035541195477,2.4676287405884088e-05
2286,wikimedia-en,1687,290,0.4885618452978754,-0.9199101941009329,ok,271806.2766163814,948496.1556719544,676689.8790555728,0.1832,262873.3174425998,0.02276176024279211,2.7180627661638142e-05
2377,fineweb-edu-sample,1053,130,0.540862021708848,0.2447677160570513,ok,263013.49774094985,372203.06621681945,109189.56847586963,0.0028,188613.8205918599,0.13186813186813187,2.6301349774094987e-05
2377,wikimedia-en,1811,448,0.540862021708848,-0.5023746115936585,ok,648173.6674320595,1262501.060651606,614327.3932195465,0.0022,548764.5871011387,0.2412571934484285,6.481736674320595e-05
3136,fineweb-edu-sample,1818,953,0.7237565179363056,0.8526634209272232,ok,37273.85677420315,140928.25290167436,103654.39612747123,0.0018,36140.16752608259,0.020570191266690727,3.7273856774203152e-06
3136,wikimedia-en,1775,660,0.7237565179363056,0.6855975706817543,ok,48488.520617630005,122243.53892818578,73755.01831055578,0.0116,46961.507256285484,0.02751540041067762,4.848852061763e-06
6756,fineweb-edu-sample,1161,200,0.7610200608729529,-0.43393616870905727,ok,117361.35091124405,177715.16272471898,60353.811813474895,0.0004,104788.86872816549,0.060249816311535635,1.1736135091124406e-05
6756,wikimedia-en,1216,195,0.7610200608729529,-0.9655390018468741,ok,218592.15256650746,261595.18767879537,43003.035112287886,0.0002,184536.7413008136,0.09425939050318922,2.1859215256650746e-05
7511,fineweb-edu-sample,643,96,0.7159135185163976,,insufficient_regime_support,,,,1.0,,,
7511,wikimedia-en,762,86,0.7159135185163976,,insufficient_regime_support,,,,1.0,,,
8532,fineweb-edu-sample,1105,234,0.7308031958858964,0.5268174039806857,ok,134503.61501462146,170053.33343409968,35549.71841947822,0.104,130823.30521729661,0.04779686333084392,1.3450361501462147e-05
8532,wikimedia-en,1595,556,0.7308031958858964,-0.419847937198926,ok,143118.40764205137,191447.83180748243,48329.42416543108,0.0066,133984.49639274005,0.15016271501627151,1.4311840764205138e-05
10392,fineweb-edu-sample,2259,149,0.8606976163045298,0.16278257104293808,ok,886802.3571424892,1097777.70476679,210975.3476243004,0.0812,811309.8611885429,0.010382059800664452,8.868023571424893e-05
10392,wikimedia-en,1841,914,0.8606976163045298,-0.24848905174831745,ok,11220729.88711758,11311398.731421718,90668.84430413663,0.434,11210182.469497262,0.010163339382940109,0.001122072988711758
12335,fineweb-edu-sample,2295,634,0.8951381308866011,-0.47782195199501104,ok,8294889.122069541,8297870.846196538,2981.7241269962656,0.4698,8288150.463488883,0.0054626152270399455,0.0008294889122069541
12335,wikimedia-en,1963,900,0.8951381308866011,-0.4804363819666364,ok,9284512.856767293,9287776.248572776,3263.391805482026,0.0002,8623460.934264096,0.022004889975550123,0.0009284512856767293
17857,fineweb-edu-sample,153,7,0.6084850046502537,,insufficient_regime_support,,,,1.0,,,
17857,wikimedia-en,1446,309,0.6084850046502537,0.9378972267783824,ok,102013.77066799486,280976.4349553022,178962.6642873073,0.0002,72994.1506430732,0.15384615384615385,1.0201377066799487e-05
28027,fineweb-edu-sample,2088,787,0.8729595457200492,0.9865178152988049,ok,768209.7915569678,1210371.029564249,442161.23800728115,0.0002,710173.6741041208,0.05565217391304348,7.682097915569678e-05
28027,wikimedia-en,1751,1052,0.8729595457200492,0.982902215584699,ok,697481.3722340062,1038454.2492873813,340972.8770533753,0.0002,625626.0309887786,0.09596860506600072,6.974813722340062e-05
35053,fineweb-edu-sample,1614,623,0.842929784488031,0.2685025661548994,ok,537537.0720202264,599568.4851431197,62031.41312289326,0.1142,534338.7120405128,0.013410818059901655,5.375370720202264e-05
35053,wikimedia-en,1906,424,0.842929784488031,-0.7180633749968635,ok,799668.3573508069,829185.1452036841,29516.787852877,0.8088,804974.4155872856,0.025321888412017168,7.99668357350807e-05
