pc,evaluation_variance,reconstruction_mse,r_squared
409,17906.72433468376,5101.7954358699835,0.7150905246255312
410,17698.45397107938,5073.775776637661,0.7133209609761058
411,17663.227073332644,5339.11040638546,0.6977273527527553
412,17905.457219901557,5107.709091289515,0.7147400913274419
413,17000.815560265208,5069.919368484461,0.7017837555785251
414,17882.123934439052,5099.578217800318,0.7148225660163847
415,17363.97332749628,5035.600182558272,0.7099972404020989
416,16977.907234343784,5025.249937326574,0.7040124045935863
417,17047.641805727482,5137.954326821492,0.6986120200451831
418,16890.6454153732,4918.233751824255,0.7088190752410283
419,17792.822225168264,5060.068436209661,0.7156118140127257
420,17189.70939388228,4964.970069784073,0.7111661427184408
421,17165.04257723799,5130.873199890093,0.7010859031195193
422,17515.520302142784,5150.08162728331,0.7059703886356565
423,17038.30096550293,4997.6721365084595,0.706680135148033
424,16876.877162798006,4943.317151613429,0.707095269822188
425,17611.569037167606,4969.987556381444,0.7177998424846339
426,16866.211781046088,4995.8814662754685,0.703793505552341
427,17390.301290979947,5066.756692776949,0.7086446860236406
428,17054.36068779944,5044.787791529769,0.7041936731677798
429,16691.00068580916,4915.324558385363,0.7055104932944842
430,18013.480749618713,5230.545211132358,0.7096316206825783
431,16490.08104671903,4985.218160353727,0.6976838290709544
432,16847.07682979641,5129.661153205593,0.695516248603255
433,16972.787262780967,5089.615856468914,0.7001308166025415
434,16356.80658635136,4983.893481675643,0.6953015580783133
435,16747.5495217065,5168.650430109661,0.6913787044838666
436,16391.961615747223,5073.973572760339,0.6904596477406377
437,16987.7762407142,5128.095769011302,0.6981302498722042
438,16939.11008384386,4972.7727232483385,0.7064324690828205
439,17043.50551594784,4979.714091284423,0.7078233649395169
440,16778.440604585216,4828.972721570601,0.7121918040314821
441,17036.33162852381,5183.5587508766685,0.6957350406235417
442,17146.11612980983,5161.765756373478,0.6989542286256096
443,16683.19938608326,4837.850923530481,0.7100165974419688
444,17473.95761833296,5019.612221234985,0.7127375302794249
445,16586.16019513685,5109.679671578884,0.6919311274301408
446,16940.2460714873,5188.467737864669,0.6937194586212325
447,16206.578014780196,4908.467648274937,0.6971311498455457
448,17036.322935154883,5053.085162703537,0.7033934387169682
449,17079.75749566771,5075.192017870731,0.702853391264012
450,16643.74162066079,5054.975132610722,0.6962837294748854
451,16709.92044002724,4962.103627463812,0.7030444492376217
452,16567.96797468788,4960.595303606674,0.7005912064059185
453,16704.075647442314,5032.020981145242,0.6987548974662521
454,16585.01199687665,5143.667273174994,0.689860503318076
455,16459.9161999762,5006.019505951015,0.6958660393448264
456,16442.98180603931,4945.195064312897,0.699251928716689
457,16856.110974794647,5094.71303167127,0.6977527592640129
458,16196.760561845998,4983.511095861654,0.692314331817617
459,16454.882624297417,5125.991265562239,0.6884820522515818
460,16748.300669941455,5040.555528180708,0.699040778672722
461,16635.49124665823,4940.673839779719,0.7030040311690698
462,15938.215201248588,5020.086800012593,0.685028296040367
463,15488.408593238371,4699.216214872254,0.6965978662957184
