feature_id,source,n_low,n_high,documents_low,documents_high,assignment_rate,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count
7122,wikimedia-en,1470,594,1470,594,1.0,0.0001,0.052243815999440404,0.05444787809389222,0.46656976744186046,0.060327148441678996,0.0752514268643806,0.003807213883342247,0.026013845284790837,0.08657468700178728,0.10146091542644244,1000,0.015545471653589396,token_identity,0.0677892876530298,0.6,0.47048300536672627,15,0.9325057121555027,22.300975743832886,5.628660757232183,ok,2954
11908,fineweb-edu-sample,1597,1128,1597,1128,1.0,0.0022,0.13063998726055548,0.13191232187498478,0.02091743119266055,0.12028877462686197,0.14521783847026046,0.00635945506209145,0.02193293757355838,0.1432206537274465,0.167210749879234,1000,0.0021133192880057328,token_identity,0.1327533065485612,0.21212121212121213,0.42857142857142866,7,0.7431782525722546,36.346660071854586,0.3917346132153767,ok,4154
11908,wikimedia-en,1270,1512,1270,1512,1.0,0.0001,0.13022172000147708,0.13182038058856616,0.027677929547088427,0.12357914655545855,0.1468478275572568,0.005935888010662823,0.016974640121736856,0.14111811665785398,0.16395270856686672,1000,0.004991767054880608,token_identity,0.1352134870563577,0.17647058823529413,0.08571428571428573,6,0.751707788921891,37.18453110027913,1.1899595883847738,ok,3476
14064,fineweb-edu-sample,1892,538,1892,538,1.0,0.0001,0.04504292951809964,0.04639701966237864,0.20041152263374484,0.04391679780913674,0.055853596952158815,0.003045101822199511,0.035183153066414584,0.07923678122701688,0.09133265038882166,1000,0.004842267862548134,token_identity,0.049885197380647776,0.7391304347826086,0.6372549019607844,17,0.9448960709689679,19.873356413621824,3.624710186502348,ok,3891
14064,wikimedia-en,1754,557,1754,557,1.0,0.0001,0.042986383800441196,0.04454365194608873,0.27953266983989616,0.04171134200208764,0.05353094176809648,0.0030152040219410293,0.03197444764903078,0.07392994768685071,0.08612429925851542,1000,0.004634758084650865,token_identity,0.04762114188509206,0.8181818181818182,0.64462844315013,18,0.9437077502093251,17.961770889416137,2.876831412785144,ok,3304
21515,fineweb-edu-sample,1732,423,1732,423,1.0,0.1761,0.06994012106439587,0.07128212100869984,0.03665893271461717,0.06019810447435694,0.08123297524434464,0.005366038461731558,0.04105811737152733,0.10188934356658248,0.12297221272743968,1000,0.0007754187949549213,token_identity,0.07071553985935079,0.42857142857142855,0.6223776223776225,12,0.9169800540541693,21.175331269552682,2.7948667551144126,ok,3314
21515,wikimedia-en,1740,609,1740,609,1.0,0.0118,0.04161639700542135,0.04276499513185913,0.10855683269476372,0.036789266659443515,0.049596050798264596,0.0032670367701074206,0.028001149039920556,0.06518440929946259,0.07784677128177904,1000,0.001576261723432705,token_identity,0.043192658728854055,0.7391304347826086,0.5689761952333428,17,0.9469806033185681,16.76297208538588,2.920114942528741,ok,2973
25249,fineweb-edu-sample,1922,691,1922,691,1.0,0.0001,0.1406013178987443,0.1423379074828888,0.022962112514351322,0.13148469947876124,0.15827722254553966,0.006834827312953678,0.029361265424607347,0.16033603640621344,0.18757118723995658,1000,0.004279643113406145,token_identity,0.14488096101215045,0.2903225806451613,0.2833333333333333,9,0.7662993023259898,37.121727096262184,-2.434401875759555,ok,4121
25249,wikimedia-en,1550,979,1550,979,1.0,0.0001,0.1363872034411737,0.13864235090348592,0.03242388295769079,0.12876099051839787,0.15588631837593656,0.00691972649427007,0.019971369636762326,0.14940515951153155,0.17638678190200455,1000,0.0059364510059935205,token_identity,0.1423236544471672,0.14285714285714285,0.8999999999999998,5,0.7427376682643153,38.3553580019111,-2.572356255560315,ok,3479
34492,fineweb-edu-sample,1934,836,1934,836,1.0,0.1087,0.05058362556503867,0.05104791117664998,0.02454873646209386,0.045748787597697585,0.05611564060659684,0.002644605359413076,0.027013835770243272,0.07319442014408167,0.0834159016926059,1000,0.00034858853710854204,token_identity,0.05093221410214721,0.48148148148148145,0.8241758241758241,13,0.9284977424856229,19.956099117776578,5.002931673453631,ok,4058
34492,wikimedia-en,1940,780,1940,780,1.0,0.1398,0.04956368703761043,0.0504831657383632,0.034926470588235295,0.04439941177054808,0.05594480517928181,0.0029452534205953373,0.023895377884839725,0.06878845082412244,0.08067365511249068,1000,0.0006084214373045169,token_identity,0.05017210847491495,0.6,0.8007152437727272,15,0.9477944110866094,18.293840867036742,2.2593180015860455,ok,3271
