feature_id,source,level,n,activation_mean,pc1_mean,pc2_mean,pc3_mean,pc4_mean,pc5_mean,pc6_mean,pc7_mean,pc8_mean
5634,fineweb-edu-sample,2,339,397.12896908560333,-4368.0805533813755,467.73266095061405,642.8975492255695,-380.28410794263795,563.6087398699524,44.45625532332417,-11.621678888638902,-205.04882037478436
5634,fineweb-edu-sample,3,280,604.7860528128488,-4289.906354667118,435.82866828911733,655.4934146564727,-440.2549087791472,629.5178518582768,4.757502718768332,-14.769023853194682,-260.7609826263795
5634,wikimedia-en,0,97,275.80940293774165,-2379.730285482649,180.23895809020638,25.03793325236432,-447.1059546021811,565.0649851662711,116.81673259602448,-174.8123676417063,-77.81790986359329
5634,wikimedia-en,1,92,323.51710908309275,-3483.544702537502,185.7603607304822,-63.96334408498051,-580.7079585622496,688.7958429700275,71.89739680106781,-203.67859716986203,-122.02211565018519
5634,wikimedia-en,2,103,397.82770901281856,-3186.6484027941456,163.4910085185485,29.177631949593756,-504.5959883742437,685.1937329913067,46.71344136025281,-146.91628972534275,-94.1412120581026
5634,wikimedia-en,3,82,599.6179601157584,-4278.687927458301,149.12961342729537,-104.51696996174078,-606.0420170903961,848.4368913782029,42.381819566441116,-187.15226575023453,-36.54033929549891
5853,fineweb-edu-sample,0,463,249.11840477566483,-446.89148449403405,856.566985928254,-43.79068962435802,-72.97584827163395,126.162893608176,245.60836699793396,-75.46335509720998,314.8104292089797
5853,fineweb-edu-sample,1,316,311.1814576161059,-1170.7053099871325,904.8249671484679,-195.81106241231063,-94.4490323961464,125.74810074527677,249.47895254471996,-75.4166916040043,351.3436362603133
5853,fineweb-edu-sample,2,223,420.610305991408,-1245.0309403288159,780.3005755753084,-172.03292373930822,-91.28942540093534,159.78237613874322,361.8060990216122,-107.61052411658827,384.1828426548799
5853,fineweb-edu-sample,3,116,711.7126138621363,-745.8931009338714,697.5362799082633,-377.3696698994058,-95.22980366703099,151.19480841340604,379.3461114348287,-82.83285867936105,371.86748340820475
5853,wikimedia-en,0,471,249.63352464161608,3222.332238158442,388.3435099288303,-775.2651901285749,-193.05637908255613,39.241556708317276,389.46959839874813,-93.13307160075644,89.16353280690282
5853,wikimedia-en,1,436,311.27270115843606,3119.777100086902,460.15867656098465,-829.8886653187637,-197.7433008910165,13.513384238041976,447.81307453367356,-33.47260196550801,34.53401684653366
5853,wikimedia-en,2,364,427.15112220848,2778.276749640317,502.6594378312395,-931.2080820260095,-223.05438097403228,38.15148490314418,520.4913617546313,29.255297468143674,63.66007907323654
5853,wikimedia-en,3,257,770.0781143129104,2718.845377657127,331.54172001296587,-908.7800410741195,-81.62418655771087,42.39164918481185,712.4508679771067,70.04202723613304,12.77598869722345
7404,fineweb-edu-sample,0,356,229.53864434060085,-2003.600576642777,12.366321416483721,414.51383713499445,-132.05620233663413,-75.33537143712404,-18.27015661706586,24.797343467365085,-150.1113131856859
7404,fineweb-edu-sample,1,312,270.53456849318286,-2223.5997743599846,-90.13117270036966,439.9467075505409,-233.14894727752318,-104.68547246770552,-35.54459825452842,27.35240968976329,-190.82982889231994
7404,fineweb-edu-sample,2,249,352.6968030814665,-3692.6023388503845,-257.24474566970105,541.7004295806125,-325.0912919464242,-108.76950746592337,-38.754148700552975,9.431487608665977,-264.7631509594778
7404,fineweb-edu-sample,3,168,568.9067137581961,-3842.0972883005065,-311.87164681917125,543.6385630540136,-391.93799523312543,-243.54477348527857,1.490805074957735,-62.97032469321899,-225.87418586683293
7404,wikimedia-en,0,241,230.22101615177644,832.1297422395617,-482.84217121681957,-146.63397760007203,-365.6251148359486,-111.43532443713421,148.71011194312857,-12.261158999338456,-248.42519501940785
7404,wikimedia-en,1,241,271.17732080483336,357.8856397835747,-485.59954933205665,-125.07874093099532,-353.5265981753783,-94.59914444346317,174.84305730770677,-88.74095613209124,-197.31951981261625
7404,wikimedia-en,2,174,349.9216448904454,-1437.480275556598,-803.6206771514508,-124.71165220857576,-571.0880863980066,-82.30621994946009,140.44803324860766,-237.54122621381245,-211.3347773973422
7404,wikimedia-en,3,127,597.6003004659818,-2381.3369686745255,-805.0308300693769,-32.05179701736681,-665.8468282750529,-244.13678732964792,130.9988562596234,-244.0225200898414,-189.52309856191553
7462,fineweb-edu-sample,0,23,227.88393634298572,-912.8162217627962,-211.58649416786758,570.0175674617251,136.77630384866134,-142.89306092218172,101.79646745667897,193.09612772584873,183.45554966765778
7462,fineweb-edu-sample,1,30,257.58924611409503,480.9658276028901,-232.81673336117484,482.2489946038665,114.58143514811111,-161.75308177862937,34.50527161088314,255.15532755078831,170.2194925308831
7462,fineweb-edu-sample,2,21,306.16077968052457,-116.5057911888631,-348.9908519383468,523.7909397505127,208.9296500455796,-141.20993025016412,174.91769889634298,370.11569160883,169.68290212040546
7462,fineweb-edu-sample,3,10,493.00604553222655,-1946.4345513806777,168.91792925082416,369.86159137990137,26.56693860382166,-457.61382187557064,32.689213718021755,367.2425855473099,372.74423626242594
7462,wikimedia-en,0,24,224.4927666982015,5405.920315481537,-432.87490515803097,-39.912857015896975,294.00774169468616,-94.39047868393322,274.2725994881887,375.1602838353794,-41.616684299651986
7462,wikimedia-en,1,19,262.6481275056538,3886.3700371254727,-307.982422515175,-105.58339294649544,311.3118543755461,-206.5468517084522,391.40815624913705,474.54356007366005,-79.3283141944144
7462,wikimedia-en,2,23,319.4070885699728,3699.6875632637784,-751.9126769219761,25.361128672498936,329.8896684637632,-380.9319616387187,300.23835527614426,628.0633822328622,-46.899844338002566
7462,wikimedia-en,3,12,491.87860107421875,2224.222631881517,-826.7469419768732,350.3885276876709,385.25436745945825,-411.56295704014366,400.04444082334163,702.1468302109635,162.53526921999224
7546,fineweb-edu-sample,0,662,245.1493687932225,-712.0657999608621,1406.2849424166814,17.481303980820158,39.31839818015027,-90.13345813607238,-82.26123173368877,143.91001821005867,108.55948391302479
7546,fineweb-edu-sample,1,711,291.0552127371357,-633.7944855248699,1413.7510809662238,49.76868696839751,49.59007646893002,-102.94882309137456,-99.14686574535908,179.99606175464405,138.78312774844343
